a q b lambda
0.5055600797817554 0.014184397163120567 0.91 3.2399420111362236
0.5065850314596124 0.014184397163120567 0.92 3.2981541382895156
0.5073350612481896 0.014184397163120567 0.93 3.3602852326624646
0.5077878540779542 0.014184397163120567 0.94 3.4268183981125286
0.5079163968300606 0.014184397163120567 0.95 3.498345867371148
0.0 0.028368794326241134 0.0 1.9722615679086426
0.007120480450911994 0.028368794326241134 0.01 1.9723382770832585
0.014240129995986978 0.028368794326241134 0.02 1.972568454083034
0.0213581173209754 0.028368794326241134 0.03 1.9729522474207775
0.0284736102941743 0.028368794326241134 0.04 1.9734899049027073
0.035585775555877545 0.028368794326241134 0.05 1.9741817740844096
0.04269377810586491 0.028368794326241134 0.06 1.9750283028787479
0.049796780888168475 0.028368794326241134 0.07 1.976030040348782
0.05689394437189751 0.028368794326241134 0.08 1.9771876377195785
0.0639844261285491 0.028368794326241134 0.09 1.978501849513539
0.07106738040365372 0.028368794326241134 0.1 1.9799735349358951
0.0781419576832565 0.028368794326241134 0.11 1.9816036594138557
0.08520730425329415 0.028368794326241134 0.12 1.9833932963733216
0.09226256175214723 0.028368794326241134 0.13 1.9853436291936
0.09930686671482548 0.028368794326241134 0.14 1.9874559533903962
0.10633935010815992 0.028368794326241134 0.15 1.989731679020098
0.1133591368562076 0.028368794326241134 0.16 1.9921723333113768
0.12036534535444868 0.028368794326241134 0.17 1.9947795635518801
0.12735708697247577 0.028368794326241134 0.18 1.997555140214662
0.13433346554402095 0.028368794326241134 0.19 2.0005009603448713
0.14129357684277927 0.028368794326241134 0.2 2.003619051234527
0.14823650804282879 0.028368794326241134 0.21 2.006911574398379
0.15516133716391137 0.028368794326241134 0.22 2.010380829826221
0.16206713249818386 0.028368794326241134 0.23 2.0140292605909442
0.16895295201897081 0.028368794326241134 0.24 2.017859457778164
0.17581784276870568 0.028368794326241134 0.25 2.0218741657960164
0.18266084022595724 0.028368794326241134 0.26 2.0260762880525203
0.18948096764788003 0.028368794326241134 0.27 2.0304688930737402
0.1962772353896337 0.028368794326241134 0.28 2.0350552210151855
0.20304864019576238 0.028368794326241134 0.29 2.0398386906693937
